username,password,pivilege_level,role
doctor_1,22d912d8004b31868870c2c88c047464,1,staff
nurse_1,22d912d8004b31868870c2c88c047464,2,staff
doctor_2,22d912d8004b31868870c2c88c047464,1,staff
nurse_2,22d912d8004b31868870c2c88c047464,2,staff
patient_1,22d912d8004b31868870c2c88c047464,6,patient
MLT_1,22d912d8004b31868870c2c88c047464,4,staff
pharm_1,22d912d8004b31868870c2c88c047464,3,staff
patient_2,22d912d8004b31868870c2c88c047464,6,patient
patient_3,22d912d8004b31868870c2c88c047464,6,patient
patient_4,22d912d8004b31868870c2c88c047464,6,patient
recep_1,22d912d8004b31868870c2c88c047464,5,staff
